step,injected,deleted,cnl_rebuild,ppe_iterations
0,24052,21415,1,37
1,23992,21368,0,39
2,23747,21537,0,37
3,24258,21525,0,38
4,23867,21466,0,38
5,24109,21654,0,40
6,23651,21418,0,40
7,23941,21625,0,37
8,23666,21836,1,40
9,24339,21443,0,37
10,23985,21524,0,41
11,24082,21529,0,40
12,24047,21518,0,38
13,24098,21397,0,42
14,23932,21369,0,34
15,23802,21657,0,36
16,24221,21783,1,37
17,24041,21544,0,38
18,23943,21053,0,39
19,23927,21494,0,39
20,23815,21309,0,37
21,23726,21525,0,40
22,23912,21717,0,36
23,23768,21431,0,38
24,24100,21507,1,42
25,24209,21659,0,36
26,23908,21370,0,37
27,23855,21539,0,35
28,23863,21409,0,40
29,23843,21697,0,38
30,24115,21403,0,40
31,24135,21504,0,38
32,23789,21658,1,37
33,24126,21464,0,41
34,23901,21683,0,38
35,24076,21560,0,35
36,23984,21542,0,37
37,23931,21152,0,39
38,24002,21264,0,39
39,23680,21335,0,41
40,23813,21371,1,37
41,23849,21530,0,38
42,24088,21529,0,40
43,23885,21479,0,38
44,23866,21408,0,38
45,23892,21144,0,41
46,23929,21310,0,35
47,24075,21330,0,41
48,24170,21202,1,39
49,24086,21438,0,34
50,23813,21535,0,39
51,24083,21205,0,37
52,23895,21597,0,38
53,23953,21640,0,40
54,23993,21535,0,40
55,24053,21529,0,40
56,23968,21686,1,38
57,23962,21577,0,39
58,24024,21585,0,39
59,23949,21361,0,41
60,23877,21690,0,38
61,23946,21261,0,39
62,23731,21484,0,36
63,24045,21302,0,37
64,23970,21520,1,39
65,23953,21377,0,37
66,23912,21393,0,39
67,23823,21348,0,39
68,23769,21706,0,36
69,24055,21690,0,41
70,23985,21543,0,38
71,23982,21440,0,38
72,23644,21594,1,37
73,24121,21376,0,38
74,24124,21575,0,38
75,24126,21284,0,38
76,24281,21346,0,40
77,23961,21378,0,37
78,24037,21615,0,40
79,24133,21318,0,38
80,23857,21537,1,40
81,23803,21327,0,40
82,24358,21474,0,39
83,23899,21359,0,39
84,24114,21598,0,35
85,24203,21644,0,39
86,24012,21674,0,40
87,24022,21452,0,39
88,24249,21485,1,41
89,23920,21857,0,39
90,24049,21538,0,38
91,23982,21347,0,35
92,24055,21382,0,40
93,24307,21489,0,37
94,24090,21431,0,34
95,24102,21470,0,37
96,23970,21743,1,35
97,23680,21724,0,37
98,24252,21315,0,38
99,24153,21874,0,36
100,24107,21540,0,37
101,23990,21304,0,41
102,24312,21757,0,41
103,24283,21765,0,38
104,23917,21482,1,36
105,24015,21591,0,37
106,23947,21416,0,38
107,23814,21501,0,38
108,24013,21332,0,39
109,24138,21480,0,38
110,24029,21375,0,35
111,23927,21677,0,37
112,23908,21744,1,39
113,23945,21608,0,36
114,24296,21245,0,37
115,24206,21368,0,35
116,23964,21487,0,38
117,23652,21373,0,36
118,23942,21657,0,37
119,23583,21503,0,38
120,23814,21644,1,37
121,24247,21381,0,37
122,23894,21421,0,39
123,24062,21410,0,36
124,24159,21451,0,37
125,24053,21665,0,39
126,23920,21559,0,39
127,24258,21493,0,34
128,24035,21278,1,39
129,23534,21550,0,39
130,23922,21533,0,37
131,23757,21512,0,37
132,23765,21682,0,40
133,23852,21785,0,36
134,23835,21329,0,36
135,23956,21447,0,38
136,23918,21431,1,36
137,23854,21615,0,37
138,23990,21237,0,37
139,23714,21374,0,40
140,24003,21532,0,39
141,24334,21604,0,39
142,23968,21580,0,37
143,23995,21627,0,37
144,23852,21372,1,39
145,24042,21377,0,39
146,24114,21362,0,39
147,23999,21460,0,37
148,24136,21425,0,34
149,24132,21368,0,38
150,23961,21444,0,38
151,23829,21605,0,39
152,23834,21406,1,40
153,24161,21352,0,36
154,24206,21427,0,36
155,24002,21411,0,39
156,23672,21578,0,41
157,23733,21494,0,36
158,23958,21345,0,35
159,23914,21343,0,38
160,24089,21563,1,37
161,23861,21455,0,39
162,24109,21449,0,36
163,24125,21552,0,38
164,24009,21413,0,37
165,24184,21468,0,34
166,24056,21385,0,39
167,23719,21727,0,40
168,24212,21412,1,41
169,24150,21352,0,37
170,23845,21678,0,38
171,23923,21375,0,37
172,24001,21409,0,37
173,24013,21624,0,40
174,24059,21443,0,37
175,23997,21549,0,36
176,24150,21725,1,41
177,24159,21396,0,39
178,24145,21256,0,38
179,24157,21302,0,38
180,24169,21503,0,41
181,23795,21409,0,36
182,23664,21683,0,40
183,23932,21568,0,37
184,24135,21295,1,36
185,24048,21472,0,40
186,24076,21480,0,37
187,23778,21595,0,39
188,23966,21231,0,37
189,24133,21602,0,37
190,23736,21520,0,37
191,24211,21431,0,36
192,23825,21441,1,38
193,23941,21655,0,41
194,24099,21430,0,37
195,24119,21774,0,39
196,24136,21675,0,39
197,23926,21438,0,36
198,23848,21351,0,37
199,24237,21394,0,40
