step,time,particles,injected_total,outflow_total,mass_error,pairs,neighbor_mean,wall_contacts,film_particles,film_mean,film_max,max_speed
0,0.0,12,12,0,0,0,0.0,0,0,0.0,0.0,1.9743976284217595
1,0.0015,24,24,0,0,3,0.25,0,0,0.0,0.0,1.9891104901267624
2,0.003,36,36,0,0,11,0.6111111111111112,0,0,0.0,0.0,2.0038233832344576
3,0.0045000000000000005,48,48,0,0,25,1.0416666666666667,0,0,0.0,0.0,2.0227467616988974
4,0.006,60,60,0,0,50,1.6666666666666667,0,0,0.0,0.0,2.0362540501369875
5,0.0075,72,72,0,0,71,1.9722222222222223,0,0,0.0,0.0,2.0497776539386625
6,0.009000000000000001,84,84,0,0,101,2.4047619047619047,0,0,0.0,0.0,2.063317180182268
7,0.0105,96,96,0,0,125,2.6041666666666665,0,0,0.0,0.0,2.077388296460603
8,0.012,108,108,0,0,156,2.888888888888889,0,0,0.0,0.0,2.0921013642355732
9,0.0135,120,120,0,0,183,3.05,0,0,0.0,0.0,2.1066641155699166
10,0.015,132,132,0,0,223,3.378787878787879,0,0,0.0,0.0,2.121256408764989
11,0.0165,144,144,0,0,261,3.625,0,0,0.0,0.0,2.135878324720291
12,0.018000000000000002,156,156,0,0,301,3.858974358974359,0,0,0.0,0.0,2.150529953826686
13,0.0195,168,168,0,0,353,4.2023809523809526,0,0,0.0,0.0,2.1652113970626297
14,0.021,180,180,0,0,396,4.4,0,0,0.0,0.0,2.1799227670126338
15,0.0225,192,192,0,0,443,4.614583333333333,0,0,0.0,0.0,2.194636024588424
16,0.024,204,204,0,0,489,4.794117647058823,0,0,0.0,0.0,2.2108528795624616
17,0.025500000000000002,216,216,0,0,536,4.962962962962963,0,0,0.0,0.0,2.232010945595722
18,0.027,228,228,0,0,596,5.228070175438597,0,0,0.0,0.0,2.252383324881875
19,0.0285,240,240,0,0,634,5.283333333333333,0,0,0.0,0.0,2.2719348809381623
20,0.03,252,252,0,0,692,5.492063492063492,0,0,0.0,0.0,2.2906397300309407
21,0.0315,264,264,0,0,756,5.7272727272727275,0,0,0.0,0.0,2.3084797482679176
22,0.033,276,276,0,0,814,5.898550724637682,0,0,0.0,0.0,2.3251319902913594
23,0.0345,288,288,0,0,872,6.055555555555555,0,0,0.0,0.0,2.340633314567412
24,0.036000000000000004,300,300,0,0,913,6.086666666666667,0,0,0.0,0.0,2.3550323760161676
25,0.0375,312,312,0,0,978,6.269230769230769,0,0,0.0,0.0,2.3683864298522983
26,0.039,324,324,0,0,1021,6.302469135802469,0,0,0.0,0.0,2.3801040000818823
27,0.0405,336,336,0,0,1086,6.464285714285714,0,0,0.0,0.0,2.3910123090576554
28,0.042,348,348,0,0,1171,6.7298850574712645,0,0,0.0,0.0,2.4012760300098868
29,0.043500000000000004,360,360,0,0,1239,6.883333333333334,0,0,0.0,0.0,2.411823696191319
30,0.045,372,372,0,0,1320,7.096774193548387,0,0,0.0,0.0,2.4226891754866484
31,0.0465,384,384,0,0,1402,7.302083333333333,0,0,0.0,0.0,2.4338835663337686
